,Date,Open,High,Low,Close,Adj Close,Volume
98,2020-06-03,38.299999,38.549999,37.750000,37.799999,32.854050,5716321
99,2020-06-04,38.000000,38.150002,37.650002,38.000000,33.027885,3174100
100,2020-06-05,38.099998,38.400002,38.049999,38.200001,33.201717,3625500
101,2020-06-08,38.400002,38.700001,38.200001,38.400002,33.375549,5087706
102,2020-06-09,38.650002,38.750000,38.400002,38.450001,33.419006,6030748
103,2020-06-10,38.450001,38.549999,38.099998,38.200001,33.201717,7402772
104,2020-06-11,35.900002,35.900002,34.549999,34.599998,32.220821,8838565
105,2020-06-12,33.200001,34.400002,33.200001,34.299999,31.941452,2665708
106,2020-06-15,34.700001,34.900002,34.150002,34.150002,31.801769,2190456
107,2020-06-16,34.599998,35.250000,34.500000,35.250000,32.826130,2548093
108,2020-06-17,35.500000,35.549999,35.099998,35.150002,32.733006,3163154
109,2020-06-18,35.200001,35.299999,34.750000,34.750000,32.360512,1558379
110,2020-06-19,34.750000,34.799999,34.250000,34.250000,31.894892,2236571
111,2020-06-22,34.250000,34.650002,34.200001,34.299999,31.941452,1303701
112,2020-06-23,34.500000,34.549999,34.200001,34.299999,31.941452,1182562
113,2020-06-24,34.349998,34.799999,34.349998,34.549999,32.174263,973818
114,2020-06-29,34.299999,35.049999,34.150002,34.400002,32.034576,1435432
115,2020-06-30,34.950001,35.099998,34.599998,34.900002,32.500198,1958734
116,2020-07-01,35.099998,35.150002,34.849998,34.849998,32.453632,896945
117,2020-07-02,35.000000,35.250000,34.849998,35.200001,32.779568,1651593
118,2020-07-03,35.400002,35.400002,35.099998,35.200001,32.779568,1411841
119,2020-07-06,35.400002,36.099998,35.400002,35.950001,33.477997,3703204
120,2020-07-07,36.299999,36.349998,35.500000,35.799999,33.338310,2234389
121,2020-07-08,35.599998,35.900002,35.599998,35.750000,33.291748,1548129
122,2020-07-09,36.099998,36.150002,35.700001,35.849998,33.384869,1970035
123,2020-07-10,35.849998,35.900002,35.099998,35.200001,32.779568,2040481
124,2020-07-13,35.549999,36.400002,35.500000,36.299999,33.803928,3780219
125,2020-07-14,36.250000,36.750000,35.849998,36.450001,33.943615,3050461
126,2020-07-15,36.750000,36.950001,36.400002,36.650002,34.129864,3031173
127,2020-07-16,36.700001,37.200001,36.700001,37.049999,34.502357,2688901
128,2020-07-17,37.400002,37.450001,36.500000,36.599998,34.083298,3058197
129,2020-07-20,36.900002,37.099998,36.250000,36.849998,34.316109,1508472
130,2020-07-21,37.200001,37.299999,36.700001,36.700001,34.176426,1781910
131,2020-07-22,36.700001,36.950001,36.599998,36.900002,34.362671,1270176
132,2020-07-23,37.000000,37.099998,36.599998,36.849998,34.316109,967729
133,2020-07-24,36.750000,36.799999,35.900002,36.099998,33.617680,2011736
134,2020-07-27,36.099998,36.400002,35.150002,35.200001,32.779568,1934721
135,2020-07-28,35.200001,35.900002,35.099998,35.200001,32.779568,2011202
136,2020-07-29,35.200001,36.099998,35.200001,36.049999,33.571117,1080963
137,2020-07-30,36.200001,36.849998,36.099998,36.849998,34.316109,1814126
138,2020-07-31,36.650002,36.900002,36.500000,36.799999,34.269547,1266821
139,2020-08-03,37.200001,37.700001,37.000000,37.400002,34.828293,4798891
140,2020-08-04,37.799999,37.799999,37.150002,37.349998,34.781727,1643948
141,2020-08-05,37.500000,37.500000,37.150002,37.299999,34.735165,1934760
142,2020-08-06,37.400002,37.500000,37.000000,37.099998,34.548916,1647375
143,2020-08-07,37.099998,37.400002,36.799999,37.099998,34.548916,1744499
144,2020-08-10,37.500000,37.849998,37.299999,37.549999,34.967976,3010613
145,2020-08-11,37.900002,37.950001,37.549999,37.750000,35.154224,2718916
146,2020-08-12,39.299999,41.500000,38.500000,41.500000,38.646366,19799409
147,2020-08-13,42.400002,45.000000,42.349998,43.099998,40.136345,31580430
148,2020-08-14,43.500000,47.400002,43.349998,46.200001,43.023182,40321873
149,2020-08-17,46.000000,46.700001,45.200001,46.099998,42.930058,13985178
150,2020-08-18,46.099998,46.599998,45.000000,45.099998,41.998817,8736901
151,2020-08-19,45.200001,45.500000,42.250000,42.650002,39.717289,14927265
152,2020-08-20,43.049999,43.849998,40.349998,41.299999,38.460117,12484608
153,2020-08-21,42.700001,43.049999,41.500000,42.500000,39.577602,8249170
154,2020-08-24,42.400002,42.400002,41.250000,41.900002,39.018860,4471088
155,2020-08-25,42.150002,43.150002,41.900002,42.549999,39.624165,4379283
156,2020-08-26,42.349998,42.849998,42.200001,42.349998,39.437916,2525744
157,2020-08-27,42.849998,42.849998,41.799999,42.000000,39.111984,3302715
158,2020-08-28,41.799999,42.700001,41.450001,42.400002,39.484478,3272662
159,2020-08-31,42.500000,42.799999,42.250000,42.450001,39.531040,2208130
160,2020-09-01,42.549999,43.700001,42.099998,43.400002,40.415718,6744228
161,2020-09-02,43.250000,43.599998,42.750000,43.349998,40.369152,4196557
